"","cmt1","cmt2","cmt3","cmt4","cmt5","cmt6","cmt7","cmt8","cmt9","cmt10","cmt11","cmt12","cmt13","cmt14","cmt15","cmt16","cmt17","cmt18","cmt19","cmt20","cmt21","cmt22","cmt23","cmt24","cmt25","cmt26"
"TCGA-IB-A6UG-01A",0.175107521097937,0.274818748090449,0.0821132878748798,-0.435314768717518,0.295128924394216,0.19351283426728,0.221390158993495,0.104875293349988,0.260672178095876,-0.0978359704159429,0.230740744512435,0.628137015680729,-0.28420894752833,-0.231198992530873,-0.235239155016684,-0.0772533044035256,0.214210967486685,-0.365156022533544,-0.338878319290943,0.143989383721869,0.221306686725493,-0.168648988014515,-0.159595178009224,-0.0968008494465961,0.328064958370092,-0.329888842733664
"TCGA-3A-A9IU-01A",0.239407932892384,0.318113023754161,0.193247464901722,-0.554462456197675,0.276571129681187,-0.253790460903103,0.287314059225611,0.0539457527174222,0.274755333171958,-0.304769690236349,-3.4093550768157,-1.056185761524,-0.320023904403966,-0.0882722735914229,-0.330268479310515,0.108613752820813,0.233835976026535,-0.378756789044314,-0.3894607992243,0.212390734810352,0.235106729886153,-0.277527470310723,-0.309977036297917,-0.112055539413466,0.194803139813514,-0.273795308721781
"TCGA-IB-AAUQ-01A",0.250853610490076,0.191601768244487,0.151342625297208,-0.194553276082972,0.223853167105706,-0.0814249177369717,0.236264738874526,0.0153822413295597,0.156298523621514,0.000342265038566889,0.412945469006825,-0.16659185217822,0.018212363444297,3.57867370824059,-0.312984791825755,-0.338080428402231,0.160683192084955,-0.483070477383553,-0.153810096804021,0.169023805929086,0.217844206232978,-0.696067633127112,-0.173424755043132,-0.0708959449729191,0.251887767751065,-0.156158249041304
"TCGA-HV-A5A3-01A",0.231308387216498,0.33709501118615,0.167908359295774,-0.462301581578424,0.330849288551463,-0.0518183845102821,0.306535976426155,0.135043043289909,0.368070389676055,-0.434494880066592,0.133746186458706,-0.438183627008472,-0.438778981231833,-0.128269790442598,-0.225066275100119,0.106445840414408,0.317130398418832,-0.55434243888444,-0.56431013561593,0.241656918574151,0.235764693581122,0.205268635913901,-0.421411993874932,-0.137249259651646,0.235706385098418,-0.261631313535204
"TCGA-HV-AA8V-01A",0.300515974731993,0.237669689592062,0.224992654924054,-0.289816626996356,0.163633750169832,-0.243202794858005,0.273819701776083,0.221893890470053,0.15789986351764,-0.189951648006812,0.427438969209572,-0.982681362385194,0.546742395338308,-0.410952561131446,-0.349164602156728,-0.328782259497392,0.238641283166363,-0.634968826143681,-0.131707501038931,0.199420609813766,0.222788079390417,-0.47840976535275,-0.208016956096469,-0.0746670810195104,0.215124505877746,-0.221311750472258
"TCGA-HV-A5A5-01A",0.318621999550828,0.27296474429633,0.169412135731024,-0.17200065841128,0.170567475688608,-0.228155201519612,0.260565128605313,0.373333501017802,0.182417419649051,-0.271737284045621,0.261445766057152,-0.518075920506048,0.521178033327032,-0.3342955655127,-0.350832286242267,-0.318698043294867,0.274360590846849,0.0993243793179285,-0.228031562387057,0.202197510833412,0.214405249719317,-0.564723273944658,-0.169112092788363,-0.0516966797453318,0.166977317016705,-0.227739123976087
"TCGA-F2-6880-01A",0.271596813522645,0.264738699479984,0.0935737847175881,-0.348412108857247,0.192268354136047,-0.592500328567309,0.217917737738457,0.0849315416088931,0.218450462926894,0.0273456555046716,0.294356268669455,0.825411789247421,0.335367337699792,-0.40799882519959,-0.36999010357846,-0.339623047594541,-3.79636820251481,1.11617860125654,-0.166669533712656,0.129571146344198,0.200312871282467,-0.455166009456302,0.0439967612147172,-0.0120514704964076,0.340936632058768,-0.313209661314701
"TCGA-M8-A5N4-01A",0.243192584454723,0.286773863280198,0.249029374337436,-0.27130594667695,0.153855157386504,-0.243050510693612,0.288594121506086,0.325746677469769,0.206123665319374,-0.320221129836078,0.288003460908488,-1.57349543392427,0.145302856075489,-0.192552812983489,-0.329349535846388,-0.0254132433969077,0.333372292436673,-0.584435554997877,-0.167948378414466,0.279351369576305,0.223439773346954,-0.120537872994266,-0.270875133267247,-0.104461692129844,0.175897187903461,-0.24113503158606
"TCGA-3A-A9IJ-01A",-4.2199660920816,0.21901413543848,0.0341029172811149,4.21572817043543,0.179902300514056,-0.252619346683754,-4.01382234715094,-4.15065095184033,-4.19588870924733,3.87351163085366,0.247340866229981,3.45754528813586,-3.45847243025331,-0.318091957797836,-0.362289456674875,-0.44448638425571,-3.77265900378623,3.87633298513367,4.44975208325031,0.162925755651087,-4.57114369535531,-0.637416242012869,3.84981657473289,-0.0118091214434945,0.195572510536714,4.25694581611782
"TCGA-HZ-8637-01A",0.266392809225531,0.193806748647644,0.21293804037687,-0.298120319998301,0.146911286884992,-0.389639820112785,0.179892705943389,0.349819726772549,0.0778457170685463,-0.0614806819118349,0.293591288306661,0.472906100695185,0.812461304257434,-0.333598251580872,-0.296280071798684,-0.260405046030877,0.242465285983315,0.921529463979438,3.91770229065521,0.242721203425924,0.182472355494636,-0.681251428370884,-0.0390028018217328,-0.030104382516257,0.132336796413806,-0.169852720448499
